candidate_id,testcase_class,source_file
1,ctypes.tests.python.relay.test_pass_qnn_legalize,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/relay/test_pass_qnn_legalize.py
2,cython.tests.python.unittest.test_tvmscript_printer_highlight,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tvmscript_printer_highlight.py
3,ctypes.tests.python.contrib.test_ethosu.test_copy_compute_reordering,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_copy_compute_reordering.py
4,ctypes.tests.python.contrib.test_ethosu.test_replace_depthwise_conv2d,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_replace_depthwise_conv2d.py
5,cython.tests.python.unittest.test_autotvm_record,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_autotvm_record.py
6,cython.tests.python.topi.python.test_topi_relu,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/topi/python/test_topi_relu.py
7,ctypes.tests.python.unittest.test_te_schedule_ops,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_te_schedule_ops.py
8,cython.tests.python.unittest.test_arith_intset,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_arith_intset.py
9,ctypes.tests.python.relay.test_ir_well_formed,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/relay/test_ir_well_formed.py
10,cython.tests.python.frontend.keras.test_forward,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/frontend/keras/test_forward.py
11,ctypes.tests.python.driver.tvmc.test_autoscheduler,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/driver/tvmc/test_autoscheduler.py
12,cython.tests.python.unittest.test_arith_simplify,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_arith_simplify.py
13,cython.tests.python.unittest.test_tir_transform_inject_software_pipeline,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_transform_inject_software_pipeline.py
14,ctypes.tests.python.unittest.test_tir_base,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_base.py
15,cython.tests.python.unittest.test_tir_transform_instrument_bound_checkers,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_transform_instrument_bound_checkers.py
16,cython.tests.python.unittest.test_tir_transform_make_unpacked_api,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_transform_make_unpacked_api.py
17,ctypes.tests.python.unittest.test_meta_schedule_postproc_disallow_dynamic_loop,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_meta_schedule_postproc_disallow_dynamic_loop.py
18,ctypes.tests.python.contrib.test_ethosu.test_pass_operations_distribution,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_pass_operations_distribution.py
19,cython.tests.python.topi.python.test_topi_deformable_conv2d,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/topi/python/test_topi_deformable_conv2d.py
20,cython.tests.python.unittest.test_tir_schedule_rfactor,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_schedule_rfactor.py
21,cython.tests.python.unittest.test_arith_solve_linear_equations,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_arith_solve_linear_equations.py
22,cython.tests.python.unittest.test_tir_schedule_compute_inline,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_schedule_compute_inline.py
23,ctypes.tests.python.contrib.test_ethosu.test_remove_concatenates,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_remove_concatenates.py
24,ctypes.tests.python.relay.aot.test_pass_aot_lower_main,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/relay/aot/test_pass_aot_lower_main.py
25,ctypes.tests.python.contrib.test_ethosu.cascader.test_ethosu_block_config,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/cascader/test_ethosu_block_config.py
26,ctypes.tests.python.relay.test_op_qnn_unary_elementwise,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/relay/test_op_qnn_unary_elementwise.py
27,cython.tests.python.topi.python.test_topi_transform,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/topi/python/test_topi_transform.py
28,ctypes.tests.python.integration.test_gemm,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/integration/test_gemm.py
29,ctypes.tests.python.unittest.test_te_verify_compute,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_te_verify_compute.py
30,ctypes.tests.python.relay.aot.test_crt_aot,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/relay/aot/test_crt_aot.py
31,ctypes.tests.python.relay.test_any,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/relay/test_any.py
32,ctypes.tests.python.relay.strategy.arm_cpu.test_quantized_convolution,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/relay/strategy/arm_cpu/test_quantized_convolution.py
33,cython.tests.python.unittest.test_meta_schedule_mutator_mutate_thread_binding,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_meta_schedule_mutator_mutate_thread_binding.py
34,ctypes.tests.python.contrib.test_ethosu.test_layout_optimizer,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_layout_optimizer.py
35,cython.tests.python.unittest.test_subwarp_reduction_cuda,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_subwarp_reduction_cuda.py
36,cython.tests.python.unittest.test_arith_detect_linear_equation,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_arith_detect_linear_equation.py
37,ctypes.tests.python.contrib.test_ethosu.test_placeholder,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_placeholder.py
38,ctypes.tests.python.unittest.test_div_to_mul,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_div_to_mul.py
39,ctypes.tests.python.contrib.test_ethosn.test_codegen,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosn/test_codegen.py
40,ctypes.tests.python.contrib.test_ethosu.test_rolling_buffer,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_rolling_buffer.py
41,ctypes.tests.python.unittest.test_tir_ir_builder,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_ir_builder.py
42,ctypes.tests.python.contrib.test_ethosu.test_replace_identity,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_replace_identity.py
43,ctypes.tests.python.unittest.test_auto_scheduler_task_scheduler,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_auto_scheduler_task_scheduler.py
44,ctypes.tests.python.contrib.test_hexagon.topi.slice_op.test_depthwise_conv2d_slice,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_hexagon/topi/slice_op/test_depthwise_conv2d_slice.py
45,ctypes.tests.python.unittest.test_meta_schedule_schedule_rule_mlt,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_meta_schedule_schedule_rule_mlt.py
46,ctypes.tests.python.contrib.test_cmsisnn.test_fully_connected,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_cmsisnn/test_fully_connected.py
47,cython.tests.python.frontend.coreml.test_forward,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/frontend/coreml/test_forward.py
48,cython.tests.python.topi.python.test_topi_scatter,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/topi/python/test_topi_scatter.py
49,cython.tests.python.unittest.test_te_hybrid_script,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_te_hybrid_script.py
50,ctypes.tests.python.contrib.test_ethosu.test_codegen,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_codegen.py
51,cython.tests.python.unittest.test_tvmscript_regression,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tvmscript_regression.py
52,ctypes.tests.python.unittest.test_autotvm_ga_tuner,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_autotvm_ga_tuner.py
53,ctypes.tests.python.unittest.test_tir_analysis_estimate_tir_flops,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_analysis_estimate_tir_flops.py
54,cython.tests.python.topi.python.test_topi_conv2d_nhwc,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/topi/python/test_topi_conv2d_nhwc.py
55,ctypes.tests.python.unittest.test_meta_schedule_measure_callback,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_meta_schedule_measure_callback.py
56,ctypes.tests.python.contrib.test_ethosu.test_scheduler,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_scheduler.py
57,ctypes.tests.python.unittest.test_tvmscript_meta_programming,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tvmscript_meta_programming.py
58,ctypes.tests.python.relay.test_pass_to_graph_normal_form,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/relay/test_pass_to_graph_normal_form.py
59,ctypes.tests.python.unittest.test_tir_transform_remove_no_op,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_transform_remove_no_op.py
60,cython.tests.python.topi.python.test_topi_space_to_batch_nd,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/topi/python/test_topi_space_to_batch_nd.py
61,cython.tests.python.unittest.test_tir_schedule_read_write_at,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_schedule_read_write_at.py
62,ctypes.tests.python.unittest.test_te_hybrid_script,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_te_hybrid_script.py
63,cython.tests.python.unittest.test_tir_analysis_verify_memory,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_analysis_verify_memory.py
64,cython.tests.python.unittest.test_tir_ptx_ldmatrix,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_ptx_ldmatrix.py
65,ctypes.tests.python.relay.aot.test_c_device_api,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/relay/aot/test_c_device_api.py
66,ctypes.tests.python.unittest.test_meta_schedule_schedule_cuda_layout_transform,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_meta_schedule_schedule_cuda_layout_transform.py
67,cython.tests.python.unittest.test_tir_transform_rewrite_unsafe_select,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_transform_rewrite_unsafe_select.py
68,cython.tests.python.unittest.test_tir_transform_remove_no_op,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_tir_transform_remove_no_op.py
69,cython.tests.python.topi.python.test_topi_conv2d_nhwc_winograd,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/topi/python/test_topi_conv2d_nhwc_winograd.py
70,cython.tests.python.unittest.test_gen_requirements,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_gen_requirements.py
71,ctypes.tests.python.unittest.test_meta_schedule_profiler,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/unittest/test_meta_schedule_profiler.py
72,ctypes.tests.python.contrib.test_ethosu.test_replace_pooling,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/test_replace_pooling.py
73,ctypes.tests.python.contrib.test_ethosu.cascader.test_memory_reduction,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_ethosu/cascader/test_memory_reduction.py
74,ctypes.tests.python.contrib.test_hexagon.test_vtcm_bandwidth,/home/lili/TC_try/TVM_PR14492_build3_35148ba/repo/tvm_git_35148ba/tests/python/contrib/test_hexagon/test_vtcm_bandwidth.py
